name,tag1,synonym,tag2
Lasteaia tänav,loc,,
Lehe tänav,loc,,
Liiva tänav,loc,,
Loojangu tänav,loc,,
Lootsi tänav,loc,,
Lossi tänav,loc,,
Luha tänav,loc,,
Lydia Koidula tänav,loc,,
Marientali tee,loc,,
Martin Körberi tänav,loc,,
Mere tänav,loc,,
Mierzejewski tänav,loc,,
Metsa tänav,loc,,
Mooni tänav,loc,,
Muru tänav,loc,,
Niidu tänav,loc,,
Nooruse tänav,loc,,
Nurme tänav,loc,,
Nurmenuku tänav,loc,,
Nõmme tänav,loc,,
Odra tänav,loc,,
Pae tänav,loc,,
Paju tänav,loc,,
Papli tänav,loc,,
Pargi tänav,loc,,
Pihtla tee,loc,,
Piibelehe tänav,loc,,
Piiri tänav,loc,,
Pikk tänav,loc,,
Pärna tänav,loc,,
Põhja tänav,loc,,
Põik tänav,loc,,
Raekoja tänav,loc,,
Rahu tänav,loc,,
Raiekivi tee,loc,,
Raja tänav,loc,,
Ranna tänav,loc,,
Raua tänav,loc,,
Raudtee tänav,loc,,
Ravila tänav,loc,,
Rehe tänav,loc,,
Ristiku tänav,loc,,
Rohu tänav,loc,,
Roo tänav,loc,,
Roomassaare tee,loc,,
Roopa tänav,loc,,
Rootsi tänav,loc,,
Saue tänav,loc,,
Sepa tänav,loc,,
Sinilille tänav,loc,,
Sirge tänav,loc,,
Staadioni tänav,loc,,
Supluse puiestee,loc,,
Suur-Põllu tänav,loc,,
Suur-Sadama tänav,loc,,
Suur-Sadama põik,loc,,
Suuresilla tänav,loc,,
Voolu tänav,loc,,
Maasika tänav,loc,,
Räägu tänav,loc,,
Leevikese tänav,loc,,
Vitamiini tänav,loc,,
Nikolai Lunini tänav,loc,,
Sinika tänav,loc,,
Kesk tänav,loc,,
Säde tänav,loc,,
Pihlaka tänav,loc,,
Ravila tänav,loc,,
Rohu tänav,loc,,
Rästa tänav,loc,,
Sanatooriumi tänav,loc,,
Aru tänav,loc,,
Kiire tänav,loc,,
Kesa tänav,loc,,
Niidu tänav,loc,,
Kirde tänav,loc,,
Vaikne tänav,loc,,
Sõbra tänav,loc,,
Tungla tänav,loc,,
August Kitzbergi tänav,loc,,
Vanemuise tänav,loc,,
Räni põik,loc,,
Kitsas tänav,loc,,
Metalli tänav,loc,,
Sarapuu tänav,loc,,
Urva tänav,loc,,
Leete tänav,loc,,
Sambla tänav,loc,,
Lammi tänav,loc,,
Sassi tänav,loc,,
Mõisavahe tänav,loc,,
Vase tänav,loc,,
Elmar Kitse tänav,loc,,
Eduard Wiiralti tänav,loc,,
Hando Mugasto tänav,loc,,
Jaan Koorti tänav,loc,,
Kaarel Liimandi tänav,loc,,
Andrus Johani tänav,loc,,
Anton Starkopfi tänav,loc,,
Ado Vabbe tänav,loc,,
Tõrviku tänav,loc,,
Pohla tänav,loc,,
Oru tänav,loc,,
Tehase tänav,loc,,
Tervishoiu tänav,loc,,
Ujula tänav,loc,,
Nõmme tänav,loc,,
