name,tag1,synonym,tag2
Soome,loc,,
Euroopa,loc,,
Tartu,loc,,
Tallinn,loc,,
Eesti,loc,,
Rootsi,loc,,
Saksamaa,loc,,
Eesti vabariik,loc,,
Venemaa,loc,,
Pärnu,loc,,
Läti,loc,,
USA,loc,,
OÜ,nan,,
Leedu,loc,,
Itaalia,loc,,
I,nan,,
Euroopa Liidu|Liidud|Liit,loc,,
Ameerika,loc,,
Norra,loc,,
Prantsusmaa,loc,,
Eestimaa,loc,,
A,nan,,
Poola,loc,,
Estonia,loc,,
Hiina,loc,,
Taani,loc,,
Inglismaa,loc,,
Holland,loc,,
Viljandi,loc,,
Hispaania,loc,,
Jaapan,loc,,
Narva,loc,,
Harjumaa,loc,,
Saaremaa,loc,,
Saks|Saksa,loc,,
Riia,loc,,
Rakvere,loc,,
EL,loc,,
Suurbritannia,loc,,
Baltikum,loc,,
Skandinaavia,loc,,
Austria,loc,,
Ukraina,loc,,
Vene,loc,,
B,nan,,
Baltimaa,loc,,
Haapsalu,loc,,
C,nan,,
Aasia,loc,,
London,loc,,
Austraalia,loc,,
Euroopa liit,famous_org,,
India,loc,,
Helsingi,loc,,
Kanada,loc,,
Peterburi,loc,,
Belgia,loc,,
Moskva,loc,,
EUR,nan,,
Aafrika,loc,,
MTÜ,nan,,
IT,nan,,
prantsuse,loc,,
Põhjamaa|Põhjamaade,loc,,
Kreeka,loc,,
Facebook|Facebooki,famous_org,,
Pariis,loc,,
Eesti riik,loc,,
Ida-Virumaa,loc,,
Kuressaare,loc,,
Šveits,loc,,
Võru,loc,,
Europe,loc,,
Lõuna-Eest|Lõuna-Eesti,loc,,
Hiiumaa,loc,,
Ungari,loc,,
New York,loc,,
Pärnumaa,loc,,
Läänemeri,loc,,
AS,nan,,
E,nan,,
Tallinn linn,loc,,
Rapla,loc,,
Tartumaa,loc,,
Stockholm,loc,,
ISO,famous_org,,
Türgi,loc,,
Valga,loc,,
ja,nan,,
Valgevene,loc,,
Ameerika Ühendriik,loc,,
Island,loc,,
Berliin,loc,,
SEB,synonym,SEB Pank AS,
Paide,loc,,
Iirimaa,loc,,
Pirita,loc,,
Läänemaa,loc,,
Brasiilia,loc,,
Tartu linn,loc,,
vene,nan,,
Lääne|Lääs,nan,,
Keila,loc,,
Euroopa komisjon,famous_org,,
Portugal,loc,,
Viljandimaa,loc,,
C.,nan,,
Balt|Balti riik,nan,,
saksa,nan,,
Rooma,loc,,
S,nan,,
vanalinn,nan,,
Võrumaa,loc,,
Lasnamäe,loc,,
tv,nan,,
ETV,synonym,Eesti Televisioon,
Bulgaaria,loc,,
Viru,loc,,
Vilnius,loc,,
Egiptus,loc,,
Viimsi,loc,,
Otepää,loc,,
SMS,nan,,
Põlva,loc,,
Paldiski,loc,,
Järvamaa,loc,,
Rumeenia,loc,,
Kadriorg|Kadrioru,loc,,
Eesti Vabariik,loc,,
T,nan,,
Balt|Balti,loc,,
Raplamaa,loc,,
The,nan,,
